Series Name,Series Code,Country Name,Country Code,1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Produced capital per capita (constant 2018 US$),NW.PCA.PC,Panama,PAN,17677.48647,18247.25519,18850.97742,19611.54625,20467.79019,21050.45852,21054.42874,20967.84042,21190.66822,21525.55848,21907.80456,22504.53686,23836.12281,25631.32807,27159.27154,28898.86057,31038.57141,33987.50758,37831.36473,41971.32383,46261.38397,50770.22237,55294.94619,60017.48982
Produced capital per capita (constant 2018 US$),NW.PCA.PC,Papua New Guinea,PNG,5651.7819,5773.808721,5789.705704,5684.370153,5547.463223,5531.034121,5527.89586,5459.379633,5380.8386,5323.882431,5309.17633,5297.517708,5298.694686,5248.674002,5243.927141,5277.006695,5281.479223,5304.835371,5349.353439,5418.351818,5523.409378,5616.188143,5725.747029,5831.734163
Produced capital per capita (constant 2018 US$),NW.PCA.PC,Paraguay,PRY,11795.1471,12047.46866,12268.13106,12342.94789,12325.4995,12305.46122,12251.51027,12190.00313,12189.83939,12202.49621,12207.66146,12214.87284,12262.98033,12374.53105,12389.02036,12490.02876,12607.47586,12622.1575,12700.15383,12835.5839,12989.60947,13209.92565,13503.57696,14349.84541
Produced capital per capita (constant 2018 US$),NW.PCA.PC,Peru,PER,10135.28212,10378.11555,10722.05857,11025.03904,11211.01696,11355.51804,11449.58413,11562.12068,11725.48142,11941.10278,12226.84181,12642.83576,13232.05759,14067.12185,14790.54558,15746.43159,16782.06578,17987.00347,19193.93965,20251.18428,21075.64206,21720.9705,22279.01462,22875.17304
Produced capital per capita (constant 2018 US$),NW.PCA.PC,Philippines,PHL,5402.806864,5501.011533,5632.825148,5684.794453,5699.087439,5752.061819,5775.879867,5798.0091,5836.034334,5869.97195,5903.693456,5958.288712,6028.67681,6102.48281,6153.903923,6271.972403,6359.521567,6481.357738,6646.039181,6831.611124,7092.831239,7491.87297,7912.96717,8467.579583
Produced capital per capita (constant 2018 US$),NW.PCA.PC,Poland,POL,15796.27932,16482.3555,17386.81033,18429.18273,19494.94125,20709.85715,21437.17657,22014.48191,22578.82537,23206.97914,23934.49366,24906.20226,26195.9484,27572.26001,28778.66409,30028.51004,31351.00713,32575.21317,33731.35676,35113.97211,36608.68885,37745.55935,38922.1446,40897.74761
Produced capital per capita (constant 2018 US$),NW.PCA.PC,Portugal,PRT,83889.55171,86124.24649,88864.96429,92005.34457,95180.68882,98199.52345,101004.2516,103503.9613,105544.503,107623.8363,109652.6302,111524.4401,113435.8735,115271.9641,116599.5993,117847.9146,118626.1392,118967.5362,119313.0695,119763.7275,120305.1519,120416.8602,120543.5407,121962.3529
Produced capital per capita (constant 2018 US$),NW.PCA.PC,Qatar,QAT,105778.9789,108467.3195,112458.1497,112478.315,107948.1065,111651.8528,122510.3256,136382.2942,148246.1888,153387.5709,153743.2767,159649.2529,164981.2127,168320.1023,175184.1505,176172.3328,179177.4194,181935.6002,186723.3308,196119.7152,210356.6563,234697.4335,254483.3587,272578.6843
Produced capital per capita (constant 2018 US$),NW.PCA.PC,Romania,ROU,18977.66065,19252.99901,19526.32708,19690.65408,19818.24587,19984.76526,20496.78622,21183.6367,21750.48951,21575.22602,22424.60802,23582.49461,25885.06922,28683.06964,29796.0273,30844.294,31971.02502,33134.13725,34053.16544,35053.54455,36276.24735,37452.14196,38746.40182,40435.99272
Produced capital per capita (constant 2018 US$),NW.PCA.PC,Russia,RUS,76528.12742,75687.15233,74828.29027,73856.00526,73086.21294,72641.61087,72338.74076,72098.54464,72058.15124,72173.41231,72415.24358,72897.20808,73618.91021,74415.66744,74663.32042,75009.11281,75501.54189,75987.23877,76399.70768,76723.29218,76713.51599,76749.04686,76959.30648,77549.2137
